time,y
36605,-10.140076
36625,-10.042009
36644,-9.992976
36662,-9.963556
36682,-10.081236
36704,-10.081236
36725,-10.022396
36743,-9.95375
36763,-10.002783
36783,-10.022396
36805,-10.051816
36827,-9.973363
36843,-9.98317
36864,-9.934136
36884,-10.002783
36905,-9.98317
36927,-9.973363
36945,-9.973363
36969,-9.943943
36986,-9.9047165
37009,-9.934136
37028,-9.875297
37046,-9.89491
37065,-9.934136
37085,-10.120462
37106,-10.179302
37127,-10.149882
37145,-10.061623
37166,-9.963556
37186,-10.032203
37206,-10.002783
37234,-9.89491
37247,-9.95375
37266,-10.032203
37287,-9.963556
37307,-9.973363
37329,-9.963556
37347,-10.012589
37367,-10.051816
37387,-10.012589
37407,-10.002783
37430,-10.100849
37448,-10.159689
37468,-10.042009
37488,-10.022396
37508,-9.98317
37531,-9.943943
37548,-9.9047165
37569,-9.845877
37591,-9.885103
37613,-9.963556
37629,-9.934136
37650,-10.061623
37669,-10.149882
37691,-10.051816
37715,-9.98317
37732,-9.95375
37749,-9.845877
37771,-10.071429
37790,-10.179302
37810,-10.012589
37831,-9.92433
37850,-10.061623
37871,-10.238142
37891,-10.159689
37919,-10.120462
37933,-10.277369
37952,-10.277369
37973,-10.159689
37993,-10.208722
38013,-10.365629
38033,-10.296982
38050,-10.238142
38073,-10.247949
38094,-10.336209
38118,-10.346016
38136,-10.483309
38155,-10.630408
38174,-10.640215
38194,-10.718668
38217,-10.630408
38234,-10.463696
38254,-10.453889
38274,-10.473502
38294,-10.463696
38319,-10.650022
38337,-10.640215
38357,-10.669635
38378,-10.355823
38396,-10.346016
38419,-10.346016
38435,-10.267562
38456,-10.277369
38476,-10.453889
38495,-10.444082
38518,-10.444082
38536,-10.610795
38556,-10.532342
38577,-10.493115
38596,-10.385242
38619,-10.395049
38637,-10.5715685
38657,-10.473502
38679,-10.532342
38702,-10.502922
38719,-10.247949
38739,-10.140076
38759,-10.042009
38780,-10.120462
38801,-10.149882
38819,-10.218529
38839,-10.375436
38859,-10.434276
38881,-10.375436
38902,-10.385242
38919,-10.306788
38940,-10.277369
38960,-10.296982
38981,-10.336209
39002,-10.385242
39020,-10.522535
39040,-10.493115
39060,-10.316595
39082,-10.267562
39103,-10.238142
39121,-10.189109
39141,-10.130269
39161,-10.159689
39182,-10.140076
39204,-9.98317
39221,-10.022396
39242,-10.120462
39262,-10.012589
39282,-10.002783
39305,-10.100849
39322,-10.110656
39343,-10.208722
39363,-10.257755
39383,-9.963556
39405,-10.002783
39423,-10.061623
39443,-10.061623
39466,-10.032203
39488,-10.061623
39504,-10.012589
39524,-9.98317
39544,-9.92433
39565,-9.95375
39589,-9.875297
39605,-9.796844
39624,-9.95375
39644,-10.032203
39668,-9.86549
39689,-9.855683
39706,-10.051816
39726,-10.0910425
39746,-10.051816
39768,-10.0910425
39791,-10.169496
39807,-10.032203
39828,-9.77723
39847,-9.914523
39868,-10.071429
39890,-9.963556
39908,-9.992976
39928,-10.061623
39947,-10.012589
39973,-9.934136
39991,-10.002783
40008,-9.95375
40028,-9.92433
40049,-9.973363
40069,-10.100849
40091,-10.051816
40109,-9.826263
40129,-9.89491
40153,-10.002783
40174,-9.95375
40191,-9.816457
40209,-9.934136
40230,-10.110656
40250,-10.0910425
40270,-10.169496
40291,-10.149882
40310,-10.100849
40330,-9.855683
40353,-9.914523
40375,-10.002783
40394,-10.051816
40411,-10.012589
40432,-9.943943
40453,-9.963556
40476,-10.022396
40492,-10.012589
40511,-9.845877
40532,-9.86549
40553,-9.973363
40576,-10.061623
40594,-10.051816
40612,-10.081236
40633,-10.110656
40656,-10.061623
40678,-9.89491
40694,-9.95375
40713,-10.022396
40733,-9.92433
40754,-9.89491
40777,-9.98317
40793,-10.100849
40814,-9.98317
40834,-9.992976
40856,-10.002783
40878,-9.973363
40896,-9.943943
40914,-9.98317
40935,-10.149882
40956,-10.110656
40978,-10.051816
40995,-10.149882
41015,-10.071429
41036,-10.051816
41059,-9.92433
41080,-9.89491
41095,-10.002783
41116,-10.032203
41136,-10.012589
41156,-10.022396
41180,-10.032203
41196,-9.89491
41216,-9.796844
41237,-9.757616
41257,-9.826263
41281,-9.963556
41297,-9.92433
41317,-10.042009
41338,-10.051816
41358,-10.022396
41380,-10.061623
41398,-10.120462
41418,-9.98317
41438,-9.83607
41458,-9.973363
41482,-10.002783
41499,-9.992976
41519,-10.012589
41541,-10.022396
41564,-9.9047165
41583,-10.100849
41599,-10.120462
41619,-10.022396
41642,-10.012589
41665,-10.169496
41683,-10.100849
41700,-9.973363
41721,-9.934136
41741,-9.943943
41761,-10.061623
41783,-10.110656
41801,-10.120462
41821,-10.336209
41842,-10.434276
41864,-10.296982
41881,-10.267562
41901,-10.257755
41922,-10.346016
41944,-10.296982
41965,-10.287175
41984,-10.179302
42002,-9.95375
42022,-9.943943
42043,-9.973363
42067,-10.012589
42086,-10.081236
42103,-10.159689
42123,-10.257755
42144,-10.149882
42165,-9.973363
42183,-9.914523
42203,-9.855683
42225,-9.83607
42243,-9.934136
42263,-9.963556
42283,-9.98317
42303,-9.89491
42323,-9.885103
42344,-9.826263
42364,-9.992976
42385,-9.934136
42405,-9.963556
42425,-9.92433
42445,-9.992976
42469,-10.051816
42486,-9.98317
42506,-9.816457
42526,-9.787037
42546,-9.9047165
42568,-9.95375
42586,-9.963556
42606,-10.032203
42626,-10.189109
42646,-10.228335
42670,-10.267562
42687,-10.061623
42707,-9.963556
42730,-10.100849
42752,-10.110656
42769,-10.071429
42787,-9.973363
42808,-9.98317
42828,-10.130269
42848,-10.071429
42872,-9.934136
42888,-9.98317
42908,-9.934136
42929,-9.875297
